"GoalGoal","B365H","B365D","B365A","AverageHTSShifted","AverageATSShifted","AverageHomeTeamSavesShifted","AverageAwayTeamSavesShifted","AverageHCShifted","AverageACShifted","AverageHGShifted","AverageAGShifted","PercentageMGSHShifted","PercentageMGSAShifted","PercentageMGCHShifted","PercentageMGCAShifted"
0,1.83,3.5,5.25,3.66666666666667,1.75,1.66666666666667,3.25,5.33333333333333,5.5,1.66666666666667,0.25,1,0.25,0.333333333333333,0.75
1,1.36,5.25,10,4.75,4.25,2.25,1.75,5.75,4.75,1,2,0.5,1,0.5,0.5
1,11,5,1.36,3.25,5.25,2.75,3.25,6,5.75,0.5,1.75,0.5,0.75,0.5,0.25
0,1.11,12,26,8.25,3.5,1,5,7,4.25,4.5,1.5,1,1,0.5,0.75
0,2,3.5,4.2,4.75,1.75,2.75,5,5,5.5,1.5,0,0.75,0,0.75,1
0,1.85,3.39,5.25,2.8,2,2.6,2.25,7.6,4,1,0.75,0.4,0.75,0.8,0.75
1,2.14,3.5,3.6,4.25,2,3.5,4.25,4.25,3.75,1.25,0.25,0.75,0.25,0.75,1
1,2.79,3.25,2.75,2.75,2.25,3.75,4.25,5,4,0.75,1,0.5,0.5,0.75,0.75
1,3.79,3.6,2.04,3.25,3.5,2,3.25,6.5,4.5,0.75,0.25,0.5,0.25,0.75,0.75
1,2.25,3.5,3.39,6.25,4,0.75,3,11,4.25,0.75,1.75,0.75,0.75,0.5,1
1,1.25,7,12,9,1,1.25,4,7.5,0.75,2.75,0.5,1,0.25,0.25,0.25
0,6,4.2,1.61,3,4.25,3.25,2.75,5.75,5,0.75,2.25,0.5,1,0.75,0.75
1,2.39,3.29,3.29,3.75,3.8,2.75,2.8,5.75,3,0.5,0.6,0.25,0.4,1,0.8
0,1.25,6.75,13,9.25,3,1.25,2.25,6.75,4.75,1.5,0.75,0.75,0.25,0.25,0.5
0,2.14,3.39,3.79,6.75,6,2.25,1.75,7.5,5,3.5,3,1,1,0,0.25
0,2.04,3.6,3.79,1.75,2,3.25,2.25,2.75,4,1.25,1,0.5,0.75,0.75,1
1,11,6.5,1.28,3.25,7,1.25,1.75,6.75,8.5,1,2.75,0.75,1,0.5,0.25
1,3.29,3.2,2.45,3.5,3.33333333333333,3.5,4.33333333333333,3.5,5,1.25,0.666666666666667,0.75,0.666666666666667,0.75,0.333333333333333
0,2.14,3.39,3.75,4,2.75,2.25,3.75,3.75,1.5,1.5,0.5,1,0.5,0.75,1
0,2.89,3.2,2.7,2.5,5.75,3,2,4.5,6,0.5,0.75,0.5,0.5,0.5,0.75
0,2.79,3,3,3.2,2,2.6,2.8,5.6,3.8,0.8,0.6,0.6,0.6,0.6,0.8
0,2,3.5,4.2,4.4,2.2,2.2,3.6,4.6,3.6,1.4,0.6,0.8,0.4,0.6,1
0,1.66,3.75,6.5,3.33333333333333,2.8,2.5,5.4,7.66666666666667,4.4,1,1.2,0.5,0.8,0.666666666666667,0.8
1,2.7,3.29,2.87,3.8,3,3,4,5,4.4,1.2,1.2,0.8,0.6,0.8,0.8
0,2.39,3.2,3.39,3,2.4,3.8,3,5.4,5,0.8,0.8,0.6,0.4,0.8,0.6
1,5.25,4.33,1.66,3.25,4.6,1.75,2.8,6.5,4.4,1.25,1.6,0.75,0.8,0.5,1
0,2.5,3.2,3.2,5.4,4.8,2.4,2.8,5.8,6,1.6,1.6,0.6,0.8,0.6,0.4
1,2.2,3.39,3.6,3.2,4.4,3.4,2.2,5.2,5,1,2,0.6,1,0.8,0.6
1,1.39,5.5,7.5,8.6,5.6,0.8,2.8,6.4,5,4.2,1.2,1,0.4,0.4,0.8
0,1.28,6,12,6.2,1.4,1.8,4.4,9.4,5.4,1.4,0,0.8,0,0.6,1
